metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
mapr.process.cpu_time.syst,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.cpu_time.user,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.disk_ops.read,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.disk_ops.write,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.disk_octets.read,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.disk_octets.write,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.page_faults.majflt,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.page_faults.minflt,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.context_switch_voluntary,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.context_switch_involuntary,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.listen_msgs,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.listen_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.listen_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.produce_msgs,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.produce_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.produce_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.streams.listen_currpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.rpc.bytes_read,gauge,,,,DESCRIPTION,0,mapr,
mapr.rpc.bytes_sent,gauge,,,,DESCRIPTION,0,mapr,
mapr.rpc.calls_recd,gauge,,,,DESCRIPTION,0,mapr,
mapr.topology.utilization,gauge,,,,DESCRIPTION,0,mapr,
mapr.topology.disks_used_capacity,gauge,,,,DESCRIPTION,0,mapr,
mapr.topology.disks_total_capacity,gauge,,,,DESCRIPTION,0,mapr,
